pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_dens,st_vsin,rastr,ra,decstr,dec,sy_dist,rowupdate
Kepler-359 b,Kepler-359,1,3,Transit,2014,Kepler,0,25.56322200,0.178000,3.530,0.315,,,,,,,,,,0,,6248.00,1.09,,,,,,19h33m10.47s,293.2936129,+42d11m46.86s,42.1963497,1443.2100000,2014-05-14
Kepler-359 c,Kepler-359,1,3,Transit,2014,Kepler,0,57.68802000,0.307000,4.300,0.384,,,,,,,,,,1,,6248.00,1.09,,,,,,19h33m10.47s,293.2936129,+42d11m46.86s,42.1963497,1443.2100000,2014-05-14
Kepler-359 d,Kepler-359,1,3,Transit,2014,Kepler,0,77.09569100,0.372000,4.010,0.358,,,,,,,,,,0,,6248.00,1.09,,,,,,19h33m10.47s,293.2936129,+42d11m46.86s,42.1963497,1443.2100000,2014-05-14
Kepler-36 b,Kepler-36,1,2,Transit,2012,Kepler,0,13.86825000,,1.498,0.134,3.83000,0.01205,3.83000,0.01205,Mass,6.26000,0.000000,247.00,,1,,5979.00,1.63,1.03,,,,,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.9560000,2020-05-04
Kepler-36 c,Kepler-36,1,2,Transit,2012,Kepler,0,16.21865000,,3.679,0.328,7.13000,0.02243,7.13000,0.02243,Mass,0.78700,0.000000,191.00,,1,,5979.00,1.63,1.03,,,,,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.9560000,2020-05-01
Kepler-360 b,Kepler-360,1,2,Transit,2014,Kepler,0,3.28967200,0.044000,1.650,0.147,,,,,,,,,,0,,6053.00,1.06,,,,,,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.0440000,2014-05-14
Kepler-360 c,Kepler-360,1,2,Transit,2014,Kepler,0,7.18643400,0.075000,2.100,0.187,,,,,,,,,,0,,6053.00,1.06,,,,,,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.0440000,2014-05-14
Kepler-361 b,Kepler-361,1,2,Transit,2014,Kepler,0,8.48661600,0.086000,1.450,0.129,,,,,,,,,,0,,6169.00,1.34,,,,,,19h47m12.82s,296.8034146,+46d44m27.96s,46.7411011,930.3200000,2014-05-14
Kepler-361 c,Kepler-361,1,2,Transit,2014,Kepler,0,55.18802300,0.300000,2.520,0.225,,,,,,,,,,0,,6169.00,1.34,,,,,,19h47m12.82s,296.8034146,+46d44m27.96s,46.7411011,930.3200000,2014-05-14
Kepler-362 b,Kepler-362,1,2,Transit,2014,Kepler,0,10.32718600,0.087000,0.880,0.079,,,,,,,,,,0,,5788.00,0.72,,,,,,19h27m05.18s,291.7716030,+47d31m47.71s,47.5299192,1090.5100000,2014-05-14
