pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,ra,dec
HD 221416 b,HD 221416,1,1,Transit,2019,95.5483000,14.27670000,0.122800,9.170,60.50000,0.115000,,,,5080.00,2.94,1.21,353.0331863,-21.8012007
HD 23472 b,HD 23472,1,5,Transit,2019,39.0341000,17.66708700,0.116200,2.000,8.32000,0.072000,16.00,543,K4 V,4684.00,0.71,0.67,55.4590314,-62.7672667
HD 23472 c,HD 23472,1,5,Transit,2019,39.0341000,29.79749000,0.164600,1.870,3.41000,0.063000,7.96,467,K4 V,4684.00,0.71,0.67,55.4590314,-62.7672667
HD 23472 d,HD 23472,1,5,Transit,2022,39.0341000,3.97664000,0.042980,0.750,0.55000,0.070000,117.00,909,K4 V,4684.00,0.71,0.67,55.4590314,-62.7672667
HD 23472 e,HD 23472,1,5,Transit,2022,39.0341000,7.90754000,0.068000,0.818,0.72000,0.070000,46.70,723,K4 V,4684.00,0.71,0.67,55.4590314,-62.7672667
HD 23472 f,HD 23472,1,5,Transit,2022,39.0341000,12.16218390,0.090600,1.137,0.77000,0.070000,26.30,630,K4 V,4684.00,0.71,0.67,55.4590314,-62.7672667
HD 260655 b,HD 260655,1,2,Transit,2022,10.0055000,2.76953000,0.029330,1.240,2.14000,0.039000,42.20,709,M0 V,3803.00,0.44,0.44,99.2915429,17.5662696
HD 260655 c,HD 260655,1,2,Transit,2022,10.0055000,5.70588000,0.047490,1.533,3.09000,0.038000,16.10,557,M0 V,3803.00,0.44,0.44,99.2915429,17.5662696
HD 2685 b,HD 2685,1,1,Transit,2019,196.8520000,4.12688000,0.056800,16.141,371.86110,0.091000,,2061,,6801.00,1.56,1.43,7.3289156,-76.3040320
HD 28109 b,HD 28109,1,3,Transit,2022,139.6110000,22.89104000,0.135700,2.199,18.49600,0.330700,,881,F8/G0 V,6120.00,1.45,1.26,65.2383065,-68.1026875
HD 28109 c,HD 28109,1,3,Transit,2022,139.6110000,56.00819000,0.308000,4.230,7.94300,0.120300,,585,F8/G0 V,6120.00,1.45,1.26,65.2383065,-68.1026875
HD 28109 d,HD 28109,1,3,Transit,2022,139.6110000,84.25999000,0.411000,3.250,5.68100,0.086400,,506,F8/G0 V,6120.00,1.45,1.26,65.2383065,-68.1026875
HD 332231 b,HD 332231,1,1,Transit,2020,80.6665000,18.71204000,0.143600,9.718,77.55052,0.032000,98.09,876,F8,6089.00,1.28,1.13,306.7411340,33.7443882
HD 5278 b,HD 5278,1,2,Transit,2021,57.5846000,14.33915600,0.120200,2.450,7.80000,0.080000,132.00,943,F V,6203.00,1.19,1.13,12.5467785,-83.7437671
HD 56414 b,HD 56414,1,1,Transit,2022,272.2170000,29.04992000,0.229000,3.710,,0.680000,,1133,,8500.00,1.75,1.89,107.8436846,-68.8333403
HD 63433 b,HD 63433,1,2,Transit,2020,22.4035000,7.10793000,0.071900,2.150,,0.000000,,,,5640.00,0.91,0.99,117.4793699,27.3631342
HD 63433 c,HD 63433,1,2,Transit,2020,22.4035000,20.54530000,0.145800,2.670,,0.000000,,,,5640.00,0.91,0.99,117.4793699,27.3631342
HD 63935 b,HD 63935,1,2,Transit,2021,48.9739000,9.05881100,,2.990,10.80000,0.000000,115.60,911,,5534.00,0.96,0.93,117.9246417,9.3852412
HD 73583 b,HD 73583,1,2,Transit,2022,31.5666000,6.39804200,0.060400,2.790,10.20000,0.090000,43.30,714,K4 V,4511.00,0.65,0.73,129.6883026,-13.2565267
HD 73583 c,HD 73583,1,2,Transit,2022,31.5666000,18.87974000,0.124200,2.390,9.70000,0.080000,10.20,498,K4 V,4511.00,0.65,0.73,129.6883026,-13.2565267
HD 86226 c,HD 86226,1,2,Transit,2020,45.6830000,3.98442000,0.049000,2.160,7.25000,0.075000,,1311,G1 V,5863.00,1.05,1.02,149.1235154,-24.0991859
HD 93963 A b,HD 93963 A,2,2,Transit,2022,82.3432000,1.03913530,0.020850,1.350,7.80000,,2898.00,2042,G0 V,5987.00,1.04,1.11,162.7766969,25.6410650
HD 93963 A c,HD 93963 A,2,2,Transit,2022,82.3432000,3.64513980,0.048130,3.228,19.20000,,543.80,1344,G0 V,5987.00,1.04,1.11,162.7766969,25.6410650
HIP 65 A b,HIP 65 A,2,1,Transit,2020,61.7856000,0.98097340,0.017820,22.754,1021.18779,0.000000,661.00,1411,K4 V,4590.00,0.72,0.78,0.1856063,-54.8308228
HIP 67522 b,HIP 67522,1,1,Transit,2020,127.2800000,6.95950300,,10.070,,0.059000,,1174,,5675.00,1.38,1.22,207.5260010,-40.8358961
HIP 94235 b,HIP 94235,2,1,Transit,2022,58.5146000,7.71305700,0.078700,3.000,379.00000,0.320000,,1060,G V,5991.00,1.08,1.09,287.7411441,-60.2726358
HIP 97166 b,HIP 97166,1,2,Transit,2021,65.9501000,10.28891000,0.089000,2.740,20.00000,0.160000,,757,K0 V,5198.00,0.84,0.90,296.2446203,74.0628577
HR 858 b,HR 858,2,3,Transit,2019,31.9640000,3.58599000,0.048000,2.085,,0.300000,989.70,1572,,6201.00,1.31,1.15,42.9849779,-30.8140609
HR 858 c,HR 858,2,3,Transit,2019,31.9640000,5.97293000,0.067400,1.939,,0.190000,512.00,1326,,6201.00,1.31,1.15,42.9849779,-30.8140609
HR 858 d,HR 858,2,3,Transit,2019,31.9640000,11.23000000,0.102700,2.164,,0.280000,217.00,1075,,6201.00,1.31,1.15,42.9849779,-30.8140609
L 168-9 b,L 168-9,1,1,Transit,2020,25.1496000,1.40150000,0.020910,1.390,4.60000,0.210000,,965,M1 V,3800.00,0.60,0.62,350.0285917,-60.0657292
L 98-59 b,L 98-59,1,4,Transit,2019,10.6194000,2.25311360,0.021910,0.850,0.40000,0.103000,24.70,627,M3 V,3415.00,0.30,0.27,124.5328604,-68.3144658
L 98-59 c,L 98-59,1,4,Transit,2019,10.6194000,3.69067770,0.030400,1.385,2.22000,0.103000,12.80,553,M3 V,3415.00,0.30,0.27,124.5328604,-68.3144658
L 98-59 d,L 98-59,1,4,Transit,2019,10.6194000,7.45072450,0.048600,1.521,1.94000,0.074000,5.01,416,M3 V,3415.00,0.30,0.27,124.5328604,-68.3144658
LHS 1478 b,LHS 1478,1,1,Transit,2021,18.2276000,1.94953780,0.018480,1.242,2.33000,,,595,m3 V,3381.00,0.25,0.24,44.3388743,76.5514045
LHS 1678 b,LHS 1678,2,2,Transit,2021,19.8782000,0.86023220,0.012510,0.696,0.35000,0.250000,93.20,,M2.0 V,3490.00,0.33,0.34,68.1789866,-39.7908744
LHS 1678 c,LHS 1678,2,2,Transit,2021,19.8782000,3.69424700,0.033100,0.982,1.40000,0.220000,13.50,,M2.0 V,3490.00,0.33,0.34,68.1789866,-39.7908744
LHS 1815 b,LHS 1815,1,1,Transit,2020,29.8424000,3.81433000,0.040400,1.088,8.70000,0.000000,,617,M1,3643.00,0.50,0.50,91.0899861,-55.3115376
LHS 3844 b,LHS 3844,1,1,Transit,2019,14.8846000,0.46292913,0.006220,1.303,,,70.10,805,M5,3036.00,0.19,0.15,340.4962038,-69.1721081
LP 714-47 b,LP 714-47,1,1,Transit,2020,52.6160000,4.05203700,0.041700,4.700,30.80000,0.040000,,700,M0.0 V,3950.00,0.58,0.59,64.1902212,-12.0848643
LP 791-18 b,LP 791-18,1,2,Transit,2019,26.4927000,0.94800500,0.009690,1.120,,0.000000,21.50,650,M(6.1+/-0.7) V,2960.00,0.17,0.14,165.6904843,-16.4064445
LP 791-18 c,LP 791-18,1,2,Transit,2019,26.4927000,4.98996300,0.029392,2.310,,0.000000,2.35,370,M(6.1+/-0.7) V,2960.00,0.17,0.14,165.6904843,-16.4064445
LP 890-9 b,LP 890-9,1,2,Transit,2022,32.4298000,2.72990250,0.018750,1.320,13.20000,,4.09,396,M6 V,2850.00,0.16,0.12,64.1309096,-28.3157909
LTT 1445 A b,LTT 1445 A,3,2,Transit,2019,6.8692900,5.35876570,0.038130,1.305,2.87000,0.110000,5.40,424,,3340.00,0.27,0.26,45.4624781,-16.5944956
LTT 1445 A c,LTT 1445 A,3,2,Transit,2022,6.8692900,3.12390350,0.026610,1.147,1.54000,0.223000,10.90,508,,3340.00,0.27,0.26,45.4624781,-16.5944956
LTT 3780 b,LTT 3780,2,2,Transit,2020,21.9814000,0.76844800,0.012110,1.332,2.62000,0.000000,106.00,892,M4 V,3331.00,0.37,0.40,154.6449033,-11.7178010
LTT 3780 c,LTT 3780,2,2,Transit,2020,21.9814000,12.25190000,0.076730,2.300,8.60000,0.060000,2.63,353,M4 V,3331.00,0.37,0.40,154.6449033,-11.7178010
LTT 9779 b,LTT 9779,1,1,Transit,2020,80.4373000,0.79205200,0.016790,4.720,29.32000,0.000000,,1978,G7 V,5443.00,0.95,0.77,358.6688767,-37.6282237
NGTS-11 b,NGTS-11,1,1,Transit,2020,190.4220000,35.45533000,0.201000,9.158,109.33352,0.130000,,435,K,5050.00,0.83,0.86,23.5214497,-14.4191493
NGTS-20 b,NGTS-20,1,1,Transit,2022,382.8980000,54.18915000,0.313000,11.994,947.12865,0.432000,,688,G1 IV,5980.00,1.78,1.47,46.2926368,-21.9336472
TIC 172900988 b,TIC 172900988 Aa,2,1,Transit,2021,250.9560000,200.45200000,0.902810,11.250,942.00000,0.027100,,,F9,6050.00,1.38,1.24,128.6616644,31.5539793
TIC 237913194 b,TIC 237913194,1,1,Transit,2020,306.0630000,15.16886500,0.120700,12.520,617.22586,0.575000,,974,G3,5788.00,1.09,1.03,22.4458116,-60.7399096
TIC 257060897 b,TIC 257060897,1,1,Transit,2021,505.7030000,3.66002800,0.051000,16.701,212.94503,0.030000,,1762,,,1.82,1.32,227.5321527,72.7103128
TOI-1062 b,TOI-1062,1,2,Transit,2021,82.1733000,4.11296000,0.052000,2.265,10.15000,0.177000,232.00,1077,G9 V,5328.00,0.84,0.94,38.1209678,-78.0236828
TOI-1062 c,TOI-1062,1,2,Radial Velocity,2021,82.1733000,7.97200000,0.080000,,,0.140000,95.00,859,G9 V,5328.00,0.84,0.94,38.1209678,-78.0236828
TOI-1064 b,TOI-1064,1,2,Transit,2022,68.0726000,6.44386800,0.061520,2.587,13.50000,0.047000,62.90,784,,4734.00,0.73,0.75,296.0039349,-47.5620305
TOI-1064 c,TOI-1064,1,2,Transit,2022,68.0726000,12.22657400,0.094290,2.651,2.50000,0.088000,26.80,634,,4734.00,0.73,0.75,296.0039349,-47.5620305
